avg_speed,total_distance,harsh_breaks,night_driving,risk_score,fraud_prob
52.450712295168486,9881.201589886485,13,0.049274127155435624,44.81040949860317,0.04378523070364129
42.92603548243223,9732.92945808073,8,0.20197159429765096,29.5507747550001,0.06684371859520362
54.715328071510385,3021.784136849925,16,0.16124409180067684,52.55888904197001,0.03612332398632174
67.84544784612038,10349.549041492814,13,0.037369951584192575,43.91174715840809,0.21356176268970442
41.48769937914996,15664.145409108725,12,0.1575990558098191,54.05175562242188,0.22818270522254422
41.487945645762295,5628.839404616025,18,0.09991853327337052,47.46297481351103,0.029596812082936994
68.68819223261087,17242.413255252963,18,0.183702927956802,65.13706576802744,0.02490061871637853
56.51152093729363,14438.874105421692,14,0.05987494700870349,48.93708972346844,0.030722131744455438
37.95788421097572,8328.833390144811,15,0.11118696432290225,37.76503671446603,0.1591493746784757
53.13840065378947,11292.351813310763,17,0.09149081349218818,58.50502653488614,0.04707994059972554
38.04873460781307,19991.609038205166,17,0.1908838646794846,52.860692618517625,0.20916561023066657
38.01405369644615,15667.739067529328,16,0.08678030563168414,48.56793088684935,0.10373219777566281
48.629434073490515,12043.91827449074,15,0.300701488047828,50.25296714847693,0.00304887874030747
16.300796330133032,10811.583415195078,18,0.252769300737457,48.437746270785055,0.006867933993823251
19.126232512304508,12383.045352258297,22,0.1630070475639481,51.68260455534172,0.004078734262896153
36.56568706138541,9441.182210288483,15,0.4121695714579745,53.6076612140576,0.004142621179760891
29.80753319498364,1476.2524714049268,18,0.021759653670548204,44.74925812203158,0.18009937538224002
49.71370998892911,22210.889552673652,11,0.25428846617208356,50.391751757819335,0.038879588362877235
31.37963886718184,12776.624995997008,14,0.26379598134080223,36.77166102651813,0.12189733329081005
23.815444479970626,13990.736325612685,10,0.09519988478387482,27.301688121780103,0.0858151464618754
66.98473153382331,11710.461250615457,17,0.17336375814871774,61.01936590396213,0.02038937874067671
41.61335549270196,8324.41599637706,10,0.17460794197636453,40.71809186564504,0.05495740824489551
46.012923070318855,11070.377595256146,8,0.0437292037389654,39.36126112338459,0.020059293848008895
23.628777206798148,4003.0261890284437,18,0.2711398949341439,38.9532777231121,0.17017116850609085
